subjID,cond_dummy,condition,include,filter_var,b_comm_neutral,w_comm_neutral,b_comm_ses,w_comm_ses,b_comm_host,w_comm_host,b_comm_other,w_comm_other,b_pers_neutral,w_pers_neutral,b_pers_ses,w_pers_ses,b_pers_host,w_pers_host,b_pers_other,w_pers_other
AKCH7EGJ,1,Scarcity,2,0,42.88,52.38,43.17,27.5,40.17,14.17,42.25,48.5,52.88,39.25,4.67,7.83,2.67,2.33,42.25,48.5
A3EPDU2O,1,Scarcity,1,1,49.5,63.75,70.83,16.83,72.17,24.67,84.25,69.25,44.38,59.5,61.67,17.5,65.17,15,84.25,69.25
A1U3V3F0,1,Scarcity,1,1,34.5,61.63,66.5,14,62.83,29.67,84.25,34.5,40.25,54.25,15.33,42.83,24.67,61.17,84.25,34.5
A3U74S28,1,Scarcity,1,1,49.5,69.25,40.83,9,29.33,8.67,71.5,53.25,49.25,68,28.67,17.33,29.67,11.17,71.5,53.25
A1BXEU20,1,Scarcity,1,1,62.5,65.63,46.67,25.83,43.33,26.67,87.5,57.5,66.25,73.75,24.17,20.83,22.5,13.33,87.5,57.5
A147F5PJ,1,Scarcity,1,1,64.25,65.13,39.83,17.17,40.17,22.67,80.75,70,74.38,66.25,14.83,23.5,17.67,24,80.75,70
A3DFJV1R,1,Scarcity,1,0,33.13,54.13,41.33,3.67,49.5,19.33,71.25,38.25,58.25,50,5.5,12.5,7,38.83,71.25,38.25
A2P76QVL,1,Scarcity,1,1,60.5,62.5,10.17,7.33,23.67,11.17,42.25,27,65.88,66,6.17,3.67,6.67,16.67,42.25,27
AAMITFRK,1,Scarcity,1,1,41.63,63.88,88.17,13.67,74.67,12,59.25,50.25,60,37.25,24.83,50.83,22.5,82,59.25,50.25
A3R6HC9O,1,Scarcity,1,0,34.13,56.25,24,5.33,58.67,11.83,80.25,32.5,35.75,51.13,8.83,7,29.17,6.17,80.25,32.5
A34930YX,1,Scarcity,2,1,56.13,70.13,36,28.5,37.33,32,77.5,44,66.13,79.25,5.83,19.33,9.17,19.17,77.5,44
A1M682B2,1,Scarcity,3,0,28.5,79.13,86.17,14.33,92.83,13.33,81.5,42.75,27.13,59.88,50.83,26.17,59,27.67,81.5,42.75
A2CSENNI,1,Scarcity,1,1,31.25,71.88,76.67,23.33,80.83,21.67,75,50,33.75,73.13,40,19.17,48.33,21.67,75,50
A3MJ47AD,1,Scarcity,1,0,44.88,46.13,84.17,20,93.17,49.17,98.5,74.5,59.75,59.38,58.5,40.5,85.5,82,98.5,74.5
A7O82NXM,1,Scarcity,1,0,36.63,68.63,9.5,5,47.83,2.17,72.5,7.5,39,54.88,9,6,26.67,5,72.5,7.5
A1P6OXEJ,1,Scarcity,1,1,30.63,27.13,88.83,27.5,84.17,44.83,34.25,37,37.75,32.38,5.33,27.5,22.33,38.17,34.25,37
A3MPHGI5,1,Scarcity,1,0,14.75,63.25,95.67,5.33,95.5,82.5,50,50,50,50,49.83,50,50,50,50,50
A1A3TGZ7,1,Scarcity,3,0,38.88,58.63,88.5,8.83,88.67,11.33,50.25,46.75,72,38.63,8.5,9.17,10.5,18.17,50.25,46.75
A3RIBFIB,1,Scarcity,1,1,49.38,63.88,73,10.5,78.5,10.17,79.5,67.75,52.63,63,8.17,14.33,9,14.67,79.5,67.75
AEFZE7BI,1,Scarcity,1,0,51.13,39.88,60.67,49,41.33,47.33,81.25,35,71.63,43,3,73,30.5,49.17,81.25,35
A2QQY4S7,1,Scarcity,2,0,42.88,67.13,59.5,32,84,35,50.25,79.5,38.75,66,56.33,42.17,82.33,33.5,50.25,79.5
A16G6PPH,1,Scarcity,1,1,48.25,71.25,65.5,3.33,87.83,24.17,93,47.75,57,72.75,18,28.33,29.67,30.83,93,47.75
A19TL7AJ,1,Scarcity,2,1,33.25,79.13,97,34.17,94.83,45.33,79.25,47,75.75,66,30.33,37.67,11.83,31,79.25,47
A20HITED,1,Scarcity,2,0,31.75,86.13,96.5,0,97,6.33,89.5,42.5,65,54.63,25,23.33,43.33,45.83,89.5,42.5
A2OFN0A5,1,Scarcity,1,1,40.38,61.25,33,2.33,66.67,7,68.75,67.5,55.63,62.5,10.83,3.5,13.5,16,68.75,67.5
A2ORPKVJ,1,Scarcity,3,0,47.13,59.75,24.67,54.17,21.67,57.33,80.25,14,73.38,78.88,0,0,0,0,80.25,14
A38N2MBX,1,Scarcity,1,1,22.38,51.13,87,3,88.83,31.5,81.75,64.5,16.5,60,88.33,48,97.67,37,81.75,64.5
A2RRC5B4,1,Scarcity,2,1,25,74.38,80.17,19.17,87.5,30,69,33.75,25,71.25,52.5,6.33,63.33,26.33,69,33.75
A2EI075X,1,Scarcity,2.3,0,71.88,79.13,9.67,0,9.17,0,51,51,75.75,79.5,1.17,0,0,0,51,51
A1TLNLB9,1,Scarcity,2,1,25.13,67.63,100,19.67,95,9,52.75,20.75,25,70.88,83.17,29.33,82.17,11,52.75,20.75
A1QP4NP8,1,Scarcity,2,1,36.5,60.63,100,0,100,0,15,10,16.88,45.63,14.17,0,9.17,0,15,10
A1XPUUD0,1,Scarcity,1,0,31.38,75.25,100,33.17,83.33,91.67,100,68.5,56.5,56.38,50.5,70,83.33,83.33,100,68.5
A3AZJGI9,1,Scarcity,2,1,12.25,77.5,99.83,0,100,0,67.5,63,15.25,75.75,99.67,0,100,0,67.5,63
A3S300T3,1,Scarcity,2.3,0,68.75,81.25,0,0,0,0,100,100,87.5,87.5,0,0,0,0,100,100
